"날짜","종목코드","종목명","급등 사유","등락"
"2013-02-12","","","北 핵실험 추정 인공지진 감지 소식에 전쟁 및 테러/방위산업관련주 관련주 동반 상승",""
"2013-02-13","","","층간소음 규제 강화 소식에 건축용 층간소음완충재 생산업체인 동사의 주가가 상한가를 기록",""
"2013-02-13","","","백혈병 치료제 관련 美 특허 취득 소식",""
"2013-02-14","","","발모촉진제 효능 공식 확인 소식",""
"2013-02-14","","","지난해 실적 개선",""
"2013-02-14","","","동사의 인수전에 국내 대기업이 참여할 것이란 기대감",""
"2013-02-15","","","연강선재 판매 기대감",""
"2013-02-15","","","발모촉진제 효능 공식 확인 소식",""
"2013-02-18","","","김종훈 알카텔-루슨트 벨연구소 소장이 미래창조과학부 장관에 내정됐다는 소식에 관련주로 부각되며 상한가",""
"2013-02-18","","","김종훈 알카텔-루슨트 벨연구소 소장이 미래창조과학부 장관에 내정됐다는 소식에 관련주로 부각되며 상한가",""
"2013-02-18","","","김종훈 알카텔-루슨트 벨연구소 소장이 미래창조과학부 장관에 내정됐다는 소식에 관련주로 부각되며 상한가",""
"2013-02-19","","","김종훈 알카텔-루슨트 벨연구소 소장이 미래창조과학부 장관에 내정됐다는 소식에 관련주로 부각되며 이틀째 상한가",""
"2013-02-19","","","김종훈 알카텔-루슨트 벨연구소 소장이 미래창조과학부 장관에 내정됐다는 소식에 관련주로 부각되며 이틀째 상한가",""
"2013-02-19","","","유상증자를 통해 바이오사이언스홀딩스에 피인수된다는 소식",""
"2013-02-19","","","애니팡 차기작 출시 소식",""
"2013-02-19","","","지난해 4분기 사상 최대 실적 달성",""
"2013-02-19","","","태국 국영방송사업사와 4억달러 규모 셋톱박스 구매의향서 체결 소식",""
"2013-02-19","","","최대주주의 지분매각 추진설",""
"2013-02-19","","","지난해 영업이익 전년대비 흑자전환",""
"2013-02-20","","","김종훈 알카텔-루슨트 벨연구소 소장이 미래창조과학부 장관에 내정됐다는 소식에 관련주로 부각되며 사흘째 상한가",""
"2013-02-20","","","김종훈 알카텔-루슨트 벨연구소 소장이 미래창조과학부 장관에 내정됐다는 소식에 관련주로 부각되며 사흘째 상한가",""
"2013-02-20","","","유상증자를 통해 바이오사이언스홀딩스에 피인수된다는 소식",""
"2013-02-20","","","최대주주의 지분매각 검토 소식",""
"2013-02-20","","","美 프리스케일과 자동차 카메라 영상처리칩 공급계약 체결 소식",""
"2013-02-20","","","2차전지 양극활물질 주문량 급증 소식",""
"2013-02-20","","","지난해 실적 호조",""
"2013-02-21","","","김종훈 알카텔-루슨트 벨연구소 소장이 미래창조과학부 장관에 내정됐다는 소식에 관련주로 부각되며 나흘째 상한가",""
"2013-02-21","","","美 프리스케일과 자동차 카메라 영상처리칩 공급계약 체결 소식",""
"2013-02-21","","","2012년도 실적 호조",""
"2013-02-21","","","안랩(구 안철수연구소) 출신 송태종 전 써니전자 대표이사를 신임 대표이사 부사장으로 선임한다는 소식",""
"2013-02-21","","","中 베이징 스모그에서 암 유발 가능 물질 검출소식에 마스크 관련주 상승",""
"2013-02-21","","","대우증권의 동사 인수전 참여 검토 소식",""
"2013-02-22","","","안랩(구 안철수연구소) 출신 송태종전 써니전자 대표이사를 신임 대표이사 부사장으로 선임한다는 소식",""
"2013-02-22","","","3D 프린터 산업 활성화 기대감에 시장에서 관련주로 언급되며 상한가",""
"2013-02-22","","","액면분할 후 거래재개 첫날 상한가",""
"2013-02-22","","","지난해 영업이익 및 순이익 흑자 전환",""
"2013-02-22","","","3D 프린터 산업 활성화 기대감에 시장에서 관련주로 언급되며 상한가",""
"2013-02-22","","","서울지방법원으로부터 회생계획인가를 결정받았다는 소식",""
"2013-02-22","","","3D 프린터 산업 활성화 기대감에 시장에서 관련주로 언급되며 상한가",""
"2013-02-25","","","3D 프린터 산업 활성화 기대감에 시장에서 관련주로 언급되며 이틀째 상한가",""
"2013-02-25","","","지난해 영업이익 및 순이익 흑자 전환",""
"2013-02-25","","","최대주주 변경을 수반하는 주식양수도 계약 체결",""
"2013-02-25","","","일부 패션/의류 관련주 상승",""
"2013-02-25","","","일부 패션/의류 관련주 상승",""
"2013-02-26","","","르네상스호텔 매각 추진 및 451.98억원 규모의 공급계약 체결",""
"2013-02-26","","","현대차가 세계 최초로 수소연료전지차를 양산한다는 소식에 관련주로 부각되며 상한가",""
"2013-02-26","","","현대차가 세계 최초로 수소연료전지차를 양산한다는 소식에 관련주로 부각되며 상한가",""
"2013-02-26","","","민영화 기대감",""
"2013-02-26","","","삼성전자가 갤럭시S4에 삼성판 아이튠즈 탑재를 준비 중이란 소식에 일부 음원/음반 관련주 상승",""
"2013-02-26","","","거래재개 후 상한가",""
"2013-02-26","","","대규모 공급계약 체결",""
"2013-02-27","","","안철수 전 서울대 교수가 다음달 귀국해 신당을 창당한다는 소식에 안철수 관련주로 언급되며 상한가",""
"2013-02-27","","","안철수 전 서울대 교수가 다음달 귀국해 신당을 창당한다는 소식에 안철수 관련주로 언급되며 상한가",""
"2013-02-27","","","안철수 전 서울대 교수가 다음달 귀국해 신당을 창당한다는 소식에 안철수 관련주로 언급되며 상한가",""
"2013-02-27","","","안철수 전 서울대 교수가 다음달 귀국해 신당을 창당한다는 소식에 안철수 관련주로 언급되며 상한가",""
